Data Escala de Tempo 1 DM Simp 4,Data do Incio da Semana Din Instante DM Simp 4,Data Escala de Tempo 1 DM Simp 4,Din Instante,Período Exibido DM Simp 4,Subsistema,Texto Data Incio da Semana Din Instante DM,Selecione Tipo de DM Simp 4
3/31/2000 12:00:00 AM,,3/31/2000 12:00:00 AM,3/31/2000 6:25:00 PM,Dia,Nordeste,,7304
4/1/2000 12:00:00 AM,,4/1/2000 12:00:00 AM,4/1/2000 6:33:00 PM,Dia,Nordeste,,7166
4/2/2000 12:00:00 AM,,4/2/2000 12:00:00 AM,4/2/2000 6:41:00 PM,Dia,Nordeste,,6856
4/3/2000 12:00:00 AM,,4/3/2000 12:00:00 AM,4/3/2000 6:23:00 PM,Dia,Nordeste,,7230
4/4/2000 12:00:00 AM,,4/4/2000 12:00:00 AM,4/4/2000 6:22:00 PM,Dia,Nordeste,,7454
4/5/2000 12:00:00 AM,,4/5/2000 12:00:00 AM,4/5/2000 6:26:00 PM,Dia,Nordeste,,7450
4/6/2000 12:00:00 AM,,4/6/2000 12:00:00 AM,4/6/2000 6:27:00 PM,Dia,Nordeste,,7512
4/7/2000 12:00:00 AM,,4/7/2000 12:00:00 AM,4/7/2000 6:23:00 PM,Dia,Nordeste,,7434
4/8/2000 12:00:00 AM,,4/8/2000 12:00:00 AM,4/8/2000 6:18:00 PM,Dia,Nordeste,,7155
4/9/2000 12:00:00 AM,,4/9/2000 12:00:00 AM,4/9/2000 6:22:00 PM,Dia,Nordeste,,6914
4/10/2000 12:00:00 AM,,4/10/2000 12:00:00 AM,4/10/2000 6:22:00 PM,Dia,Nordeste,,7467
4/11/2000 12:00:00 AM,,4/11/2000 12:00:00 AM,4/11/2000 6:26:00 PM,Dia,Nordeste,,7422
4/12/2000 12:00:00 AM,,4/12/2000 12:00:00 AM,4/12/2000 6:24:00 PM,Dia,Nordeste,,7419
4/13/2000 12:00:00 AM,,4/13/2000 12:00:00 AM,4/13/2000 6:24:00 PM,Dia,Nordeste,,7386
4/14/2000 12:00:00 AM,,4/14/2000 12:00:00 AM,4/14/2000 6:18:00 PM,Dia,Nordeste,,7385
4/15/2000 12:00:00 AM,,4/15/2000 12:00:00 AM,4/15/2000 6:34:00 PM,Dia,Nordeste,,7266
4/16/2000 12:00:00 AM,,4/16/2000 12:00:00 AM,4/16/2000 6:46:00 PM,Dia,Nordeste,,6956
4/17/2000 12:00:00 AM,,4/17/2000 12:00:00 AM,4/17/2000 6:18:00 PM,Dia,Nordeste,,7384
4/18/2000 12:00:00 AM,,4/18/2000 12:00:00 AM,4/18/2000 6:18:00 PM,Dia,Nordeste,,7418
4/19/2000 12:00:00 AM,,4/19/2000 12:00:00 AM,4/19/2000 6:18:00 PM,Dia,Nordeste,,7455
4/20/2000 12:00:00 AM,,4/20/2000 12:00:00 AM,4/20/2000 6:19:00 PM,Dia,Nordeste,,6983
4/21/2000 12:00:00 AM,,4/21/2000 12:00:00 AM,4/21/2000 8:53:00 PM,Dia,Nordeste,,6168
4/22/2000 12:00:00 AM,,4/22/2000 12:00:00 AM,4/22/2000 6:33:00 PM,Dia,Nordeste,,7175
