index,value
2016-05-15,487
2016-05-16,499
2016-05-17,514
2016-05-18,541
2016-05-19,544
2016-05-20,541
2016-05-21,536
2016-05-22,538
2016-05-23,529
2016-05-24,504
2016-05-25,473
2016-05-26,455
2016-05-27,427
2016-05-28,418
2016-05-29,408
2016-05-30,409
2016-05-31,410
2016-06-01,408
2016-06-02,409
2016-06-03,407
2016-06-04,406
2016-06-05,409
2016-06-06,404
2016-06-07,399
2016-06-08,396
2016-06-09,399
2016-06-10,403
2016-06-11,398
2016-06-12,388
2016-06-13,385
2016-06-14,371
2016-06-15,374
2016-06-16,368
2016-06-17,375
2016-06-18,372
2016-06-19,378
2016-06-20,375
2016-06-21,369
2016-06-22,366
2016-06-23,366
2016-06-24,371
2016-06-25,361
2016-06-26,359
2016-06-27,355
2016-06-28,348
2016-06-29,345
2016-06-30,337
2016-07-01,341
2016-07-02,331
2016-07-03,320
2016-07-04,318
2016-07-05,322
2016-07-06,317
2016-07-07,317
2016-07-08,318
2016-07-09,326
2016-07-10,314
2016-07-11,313
2016-07-12,310
2016-07-13,308
2016-07-14,310
2016-07-15,309
2016-07-16,317
2016-07-17,299
2016-07-18,298
2016-07-19,289
2016-07-20,294
2016-07-21,292
2016-07-22,293
2016-07-23,289
2016-07-24,287
2016-07-25,282
2016-07-26,271
2016-07-27,273
2016-07-28,273
2016-07-29,277
2016-07-30,273
2016-07-31,272
2016-08-01,276
2016-08-02,274
2016-08-03,267
2016-08-04,267
2016-08-05,274
2016-08-06,280
2016-08-07,276
2016-08-08,278
2016-08-09,278
2016-08-10,283
2016-08-11,274
2016-08-12,276
2016-08-13,270
2016-08-14,270
2016-08-15,270
2016-08-16,263
2016-08-17,258
2016-08-18,255
2016-08-19,255
2016-08-20,255
2016-08-21,253
2016-08-22,263
2016-08-23,262
2016-08-24,258
2016-08-25,262
2016-08-26,265
2016-08-27,272
2016-08-28,268
2016-08-29,265
2016-08-30,266
2016-08-31,254
2016-09-01,263
2016-09-02,260
2016-09-03,269
2016-09-04,266
2016-09-05,272
2016-09-06,267
2016-09-07,264
2016-09-08,257
2016-09-09,261
2016-09-10,262
2016-09-11,259
2016-09-12,250
2016-09-13,247
2016-09-14,254
2016-09-15,255
2016-09-16,253
2016-09-17,258
